vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.08,0.7,0.024,4.0,0.003,0.0,0.0,0.06501335920678508,0.43982729156416567,False,10.227637295185191,0.0,0.06746458674935749,0.06746458674935749,0.051393686833940286,0.07565872854788441,0.09234105652259822,0.011079070644034288,0.039274698902990214,0.16020661065127856
0.08,0.7,0.024,4.0,0.01,0.0,0.0,0.06501335920678508,0.43982671081140445,False,10.227637877112608,0.0,0.0674645879240133,0.0674645879240133,0.051393686833940286,0.07565873141166621,0.09234107436265086,0.011079066931979714,0.03927473905405587,0.1602066149255499
0.08,0.7,0.024,4.0,0.03,0.0,0.0,0.06501335920678508,0.43982505166905095,False,10.227639539611738,0.0,0.06746459128078919,0.06746459128078919,0.051393686833940286,0.07565873959445663,0.09234112532888475,0.01107905633268805,0.03927485375617073,0.1602066271378049
0.08,0.7,0.024,4.0,0.1,0.0,0.0,0.06501335920678508,0.43981924643451314,False,10.227645356602176,0.0,0.06746460303668986,0.06746460303668986,0.051393686833940286,0.07565876824071062,0.09234130364836722,0.01107901931184906,0.03927525503613779,0.16020666988129115
0.06,0.7,0.024,4.0,0.003,0.0,0.0,0.06501335920678508,0.4066411328404451,False,10.260649568005347,0.0,0.06729070084579149,0.06729070084579149,0.051393686833940286,0.0755796839641785,0.09206579356238681,0.011027775806930219,0.039293699838978645,0.16010016479262104
0.06,0.7,0.024,4.0,0.01,0.0,0.0,0.06501335920678508,0.4066407247376131,False,10.260649977947027,0.0,0.06729070268464174,0.06729070268464174,0.051393686833940286,0.07557968690579142,0.09206581421409102,0.011027771050501237,0.03929373805908838,0.16010016983592595
0.06,0.7,0.024,4.0,0.03,0.0,0.0,0.06501335920678508,0.4066395588235166,False,10.26065114911569,0.0,0.06729070793920548,0.06729070793920548,0.051393686833940286,0.07557969531092057,0.0920658732128286,0.011027757467841298,0.03929384724497519,0.16010018424533148
0.06,0.7,0.024,4.0,0.1,0.0,0.0,0.06501335920678508,0.4066354792202433,False,10.260655247118164,0.0,0.06729072633840709,0.06729072633840709,0.051393686833940286,0.07557972473494282,0.09206607963690175,0.011027710011728442,0.03929422922734263,0.16010023467781687
0.05,0.7,0.024,4.0,0.003,0.0,0.0,0.06501335920678508,0.37129015208131955,False,10.295847233369445,0.0,0.06713738545076493,0.06713738545076493,0.051393686833940286,0.07542804831473106,0.09184195984059768,0.011039658110466963,0.039204678811956425,0.15992865336443884
0.05,0.7,0.024,4.0,0.01,0.0,0.0,0.06501335920678508,0.3712898740528883,False,10.29584751327907,0.0,0.0671373873319568,0.0671373873319568,0.051393686833940286,0.07542805137422336,0.09184198070273067,0.011039653064207712,0.03920471338045777,0.15992865846361634
0.05,0.7,0.024,4.0,0.03,0.0,0.0,0.06501335920678508,0.3712890797380604,False,10.295848312969493,0.0,0.06713739270755469,0.06713739270755469,0.051393686833940286,0.07542806011611732,0.09184204030266489,0.011039638653332027,0.03920481213427728,0.15992867303271274
0.05,0.7,0.024,4.0,0.1,0.0,0.0,0.06501335920678508,0.37128630024392756,False,10.295851111287128,0.0,0.06713741153105479,0.06713741153105479,0.051393686833940286,0.07542809071842727,0.09184224883059265,0.011039588296960898,0.039205157617224956,0.15992872402475664
0.05,0.7,0.024,2.0,0.003,0.0,0.0,0.06501335920678508,0.3046677702145995,False,10.357216753611064,0.0,0.061884523825663985,0.061884523825663985,0.051393686833940286,0.06969959220828528,0.0825963539625017,0.012113265562530395,0.038605978564323414,0.14365938199796538
0.05,0.7,0.024,2.0,0.01,0.0,0.0,0.06501335920678508,0.30466373528384894,False,10.35722078570966,0.0,0.06188452099350858,0.06188452099350858,0.051393686833940286,0.06969959763196024,0.08259637227133974,0.012113232303418974,0.038606000048123285,0.1436593890926192
