role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
standard_shifted_peak,0.1,1.1,0.1,0.16,0.1,0.0,1.0,0.004657636388445108,0.009612398973360617,0.031066027846258133,0.03627746378238712,0.05321832736215095,0.00938135783451416,0.23002215676816412,-0.23002215676816412,0.23002215676816412,0.04216536314321321
standard_shifted_peak,0.35,1.1,0.1,0.16,0.1,0.15,1.0,0.014407233455607796,0.009605409367933495,0.031066578629425922,0.03627675294350155,0.0532407280106608,0.009384216113262584,0.2300389074836022,-0.2300389074836022,0.2300389074836022,0.042165411404917856
standard_shifted_peak,0.05,1.1,0.1,0.16,0.1,0.35,1.0,0.0021434236175531802,0.009594015252207067,0.031066902573344782,0.036278442491258604,0.05325303301652182,0.009385975582921537,0.2300492187157013,-0.2300492187157013,0.2300492187157013,0.042165426011873744
standard_shifted_peak,0.2,0.75,0.1,0.16,0.05,0.6,1.0,0.0,0.009901285710246642,0.031038433928858022,0.036263436634944524,0.05284346241999648,0.009224006161656603,0.22910000979520256,-0.22910000979520256,0.22910000979520256,0.04216543363500194
standard_shifted_peak,0.2,1.1,0.1,0.08,0.05,0.35,1.0,0.007074688493701611,0.010148829548767979,0.03105453443306326,0.03627507447156681,0.052809209131928075,0.009315408723712516,0.22963566724574067,-0.22963566724574067,0.22963566724574067,0.04216546441569104
standard_shifted_peak,0.2,1.1,0.1,0.16,0.1,0.0,1.0,0.009235269236432387,0.009606542764962651,0.031065583707846973,0.03627677819298284,0.05322001941362721,0.009375642384428593,0.22998866182718378,-0.22998866182718378,0.22998866182718378,0.04216592385303146
standard_shifted_peak,0.1,1.1,0.1,0.16,0.1,0.15,1.0,0.004717252909832414,0.009600226212726767,0.03106631095938554,0.03627775862136154,0.0532328537830921,0.009379152315693383,0.23000923150040273,-0.23000923150040273,0.23000923150040273,0.04216603401437345
standard_shifted_peak,0.35,1.1,0.1,0.16,0.1,0.35,1.0,0.014455380599087206,0.009588905169590163,0.03106697730930486,0.036277211355342856,0.053259956201779424,0.009380976308956662,0.23001992086795683,-0.23001992086795683,0.23001992086795683,0.042166379683266156
standard_shifted_peak,0.2,1.1,0.1,0.16,0.1,0.15,1.0,0.009283235359256662,0.009594503689558893,0.031065866226004,0.0362770711251126,0.05323456591422974,0.009373561570722142,0.22997646738383373,-0.22997646738383373,0.22997646738383373,0.04216657220448899
standard_shifted_peak,0.05,1.1,0.1,0.16,0.1,0.6,1.0,0.002261316820287708,0.009572187235306838,0.031067434415133717,0.036279121849768635,0.05327667533567543,0.009380698231842484,0.23001829121912995,-0.23001829121912995,0.23001829121912995,0.04216688567855982
standard_shifted_peak,0.1,1.1,0.1,0.16,0.1,0.35,1.0,0.004799090211133282,0.00958351631660281,0.031066708889671894,0.0362782164135691,0.053252028920721145,0.009375704309566458,0.22998902473453264,-0.22998902473453264,0.22998902473453264,0.042167038147635914
standard_shifted_peak,0.05,1.1,0.1,0.08,0.05,0.35,1.0,0.0,0.010142309560783288,0.031055095750128218,0.036276082785257756,0.0528033837043219,0.009309424156461757,0.22960059516500236,-0.22960059516500236,0.22960059516500236,0.042167077895178144
standard_shifted_peak,0.2,1.6,0.4,0.04,0.05,0.6,1.0,0.024708990393091865,0.010308313935805197,0.03114310924783663,0.036321635782352396,0.05279217682447508,0.00980859662742555,0.2325259557584147,-0.2325259557584147,0.2325259557584147,0.042167330575084185
standard_shifted_peak,0.2,1.1,0.1,0.16,0.1,0.35,1.0,0.009349083234187967,0.009577976451483403,0.031066263360455083,0.03627752632264352,0.053253769618287865,0.009370284572639161,0.22995726279701398,-0.22995726279701398,0.22995726279701398,0.042167545476544666
standard_shifted_peak,0.35,1.1,0.1,0.16,0.1,0.6,1.0,0.014517759481508343,0.009567522521035902,0.03106750824468899,0.0362778871543078,0.05328368059668143,0.009376126833912446,0.22999150090488138,-0.22999150090488138,0.22999150090488138,0.042167763217542543
standard_shifted_peak,0.2,0.75,0.1,0.16,0.05,0.35,1.0,0.0,0.0099046150666331,0.03103870072223467,0.03626483544073149,0.05282715890192016,0.009211293674029265,0.22902550927181142,-0.22902550927181142,0.22902550927181142,0.042167935444080325
standard_shifted_peak,0.0,1.1,0.1,0.16,0.1,0.0,1.0,0.0,0.009602095111987655,0.031066964815382226,0.036278695953824304,0.053212359372416154,0.009371301634091677,0.22996322320482357,-0.22996322320482357,0.22996322320482357,0.04216806811923752
