run_id,family,recommendation,path,input_rows,normalized_rows,kept_rows,bias_radps,bias_rows,samples,in_place_yaw_samples,moving_yaw_samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,mean_patch_delta_yaw_moment_nm,cutoff_reason,limitation
2026-04-14_07-02-50,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_07-02-50\open_floor_main.csv,6982,6982,6982,-0.003665191,6689,159,32,0,0.064332248,0.063880630,-0.000451618,-0.000022650,kept through final sensor-active row,
2026-04-14_07-17-42,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_07-17-42\open_floor_main.csv,3473,3473,3473,-0.003665191,3123,254,29,0,0.065495380,0.065020733,-0.000474647,0.000015854,kept through final sensor-active row,
2026-04-14_07-25-50,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_07-25-50\open_floor_main.csv,2779,2779,2332,-0.004886922,2507,211,115,0,0.076602403,0.075479613,-0.001122790,0.000080866,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-14_07-40-05,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_07-40-05\open_floor_main.csv,3859,3859,3523,-0.002443461,3704,133,13,0,0.057000094,0.056422284,-0.000577810,-0.000097355,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-14_07-51-39,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_07-51-39\open_floor_main.csv,2779,2779,2332,-0.004886922,2507,211,115,0,0.076602403,0.075479613,-0.001122790,0.000080866,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-14_07-53-57,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_07-53-57\open_floor_main.csv,5418,5418,5418,-0.003665191,5073,192,42,0,0.057428049,0.057122615,-0.000305434,0.000011221,kept through final sensor-active row,
2026-04-14_08-14-01,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_08-14-01\open_floor_main.csv,5692,5692,5235,-0.003665191,5501,155,32,0,0.062367878,0.061894434,-0.000473444,-0.000068705,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-14_08-34-57,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_08-34-57\open_floor_main.csv,3347,3347,2905,-0.003665191,3067,163,34,0,0.049166948,0.048420584,-0.000746364,0.000034110,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-14_08-44-07,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_08-44-07\open_floor_main.csv,3808,3808,3808,-0.003665191,3405,384,194,0,0.078973890,0.077381586,-0.001592304,0.000063974,kept through final sensor-active row,
2026-04-14_08-58-04,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_08-58-04\open_floor_main.csv,5163,5163,5163,-0.003665191,4786,332,95,0,0.058488684,0.057801297,-0.000687386,-0.000023652,kept through final sensor-active row,
2026-04-14_09-15-42,open_floor,exclude,TestResults\mmlog_decode_2026-04-14_09-15-42\open_floor_main.csv,4477,4477,4195,-0.003665191,4194,263,71,0,0.061117754,0.060196857,-0.000920896,-0.000036979,dropped final sensor-quiescent/invalid tail >= 0.25 s,
