forward_velocity_bin_mps,yaw_rate_bin_radps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
0.10,1.50,1.50,831,-0.057809571,0.057809571,0.056704674,0.042456379,0.084152943
0.10,2.00,2.00,804,-0.047297585,0.047297585,0.043084507,0.046658647,0.091658376
0.10,2.50,2.50,818,-0.017762274,0.017762274,0.011571074,0.046336152,0.096929026
0.10,3.00,3.00,798,0.009993488,-0.009993488,-0.017924653,0.051766740,0.106150252
0.10,3.50,3.50,388,0.016567654,-0.016567654,-0.030348279,0.050798116,0.101862243
0.10,4.00,4.00,104,0.000918133,-0.000918133,-0.002613723,0.022959445,0.048214798
0.10,4.50,4.50,139,0.002954840,-0.002954840,-0.009028379,0.021991271,0.051777028
0.10,5.00,5.00,118,0.015075775,-0.015075775,-0.022871579,0.030280881,0.066093522
0.10,5.50,5.50,116,0.026903544,-0.026903544,-0.032850204,0.039008269,0.077235918
0.10,6.00,6.00,98,0.036063316,-0.036063316,-0.037402555,0.030426959,0.058071890
0.10,6.50,6.50,102,0.040487870,-0.040487870,-0.043277453,0.034486776,0.071544207
0.10,7.00,7.00,91,0.043016531,-0.043016531,-0.048846207,0.024163091,0.049400177
0.10,7.50,7.50,49,0.058499577,-0.058499577,-0.057708481,0.029509184,0.047500226
0.10,8.00,8.00,90,0.082658044,-0.082658044,-0.076268953,0.022494061,0.046395033
0.10,8.50,8.50,92,0.093623092,-0.093623092,-0.089446278,0.016207715,0.036222641
0.10,9.00,9.00,97,0.087336019,-0.087336019,-0.089874978,0.019748661,0.033412004
0.10,9.50,9.50,64,0.103571799,-0.103571799,-0.099824294,0.020010233,0.041825824
0.10,10.00,10.00,94,0.099901238,-0.099901238,-0.097664484,0.024004748,0.049580832
0.10,10.50,10.50,146,0.105119021,-0.105119021,-0.105709224,0.017486327,0.033408641
0.10,11.00,11.00,143,0.105080817,-0.105080817,-0.103199850,0.014670490,0.030384131
0.10,11.50,11.50,86,0.106795538,-0.106795538,-0.107773585,0.018935635,0.037454683
0.10,12.00,12.00,43,0.106828761,-0.106828761,-0.106271528,0.021294976,0.042617415
0.10,13.00,13.00,31,0.122089836,-0.122089836,-0.122591173,0.027282028,0.051661736
0.10,13.50,13.50,31,0.107359812,-0.107359812,-0.105420979,0.027266015,0.054510041
0.10,14.00,14.00,28,0.097760893,-0.097760893,-0.090670110,0.022491847,0.045310792
0.10,14.50,14.50,45,0.103984467,-0.103984467,-0.106706250,0.016690180,0.030157707
0.20,-10.50,10.50,29,-0.107288225,-0.107288225,-0.105796154,0.011835586,0.021913181
0.20,-10.00,10.00,37,-0.106650408,-0.106650408,-0.103703545,0.017481416,0.036767324
0.20,-9.00,9.00,26,-0.115078920,-0.115078920,-0.115477280,0.016320275,0.030052472
0.20,-4.00,4.00,25,-0.088472635,-0.088472635,-0.086204027,0.032823721,0.062555646
0.20,-3.50,3.50,39,-0.079282744,-0.079282744,-0.081902730,0.040810536,0.081776645
0.20,-3.00,3.00,105,-0.056090352,-0.056090352,-0.074011902,0.031456850,0.092485692
0.20,-2.50,2.50,210,-0.054140404,-0.054140404,-0.072693609,0.023280962,0.089804109
0.20,-2.00,2.00,175,-0.063675397,-0.063675397,-0.083191741,0.027969139,0.093163130
0.20,-1.50,1.50,165,-0.060040768,-0.060040768,-0.074976488,0.018099261,0.052367981
0.20,-1.00,1.00,265,-0.056376509,-0.056376509,-0.061443076,0.015955553,0.031062604
0.20,-0.50,0.50,297,-0.054905900,-0.054905900,-0.051652381,0.027721281,0.056122523
0.20,0.00,0.00,365,-0.046476272,-0.012198399,-0.014305012,0.053809506,0.105872410
0.20,0.50,0.50,155,-0.058295741,0.058295741,0.055203367,0.031104827,0.069667774
0.20,1.00,1.00,185,-0.059511070,0.059511070,0.052930964,0.026701117,0.071463582
0.20,1.50,1.50,205,-0.050214297,0.050214297,0.039269813,0.026060259,0.067184962
0.20,2.00,2.00,186,-0.050150403,0.050150403,0.036618436,0.032446562,0.079807973
0.20,2.50,2.50,227,-0.034629995,0.034629995,0.022295858,0.039586000,0.081630359
0.20,3.00,3.00,187,-0.034637332,0.034637332,0.020127254,0.035001678,0.077793167
0.20,3.50,3.50,88,-0.029153528,0.029153528,0.029062790,0.021202504,0.042805324
0.20,9.50,9.50,25,0.101752222,-0.101752222,-0.093552612,0.018217880,0.028280418
0.20,10.00,10.00,37,0.107632024,-0.107632024,-0.105968872,0.009227779,0.018038158
0.20,10.50,10.50,27,0.099150781,-0.099150781,-0.101766486,0.012000957,0.024643763
0.20,11.00,11.00,49,0.098987533,-0.098987533,-0.100952961,0.017858278,0.033619729
0.20,11.50,11.50,52,0.102611008,-0.102611008,-0.102932734,0.014091110,0.027573643
0.20,12.00,12.00,55,0.105038597,-0.105038597,-0.106924154,0.012746613,0.023562553
0.20,12.50,12.50,70,0.107679453,-0.107679453,-0.108437749,0.015532761,0.030447589
0.20,13.00,13.00,78,0.104809113,-0.104809113,-0.107298564,0.012721110,0.026176993
0.20,13.50,13.50,77,0.109139066,-0.109139066,-0.107723876,0.013574210,0.025640142
0.20,14.00,14.00,44,0.102505077,-0.102505077,-0.102587953,0.010477902,0.020618652
0.20,14.50,14.50,67,0.117834252,-0.117834252,-0.118609273,0.011144708,0.027421167
0.20,15.00,15.00,66,0.114395777,-0.114395777,-0.113122874,0.017238372,0.032573955
0.20,15.50,15.50,56,0.110020750,-0.110020750,-0.109777024,0.012555619,0.023963487
0.20,16.00,16.00,68,0.114252956,-0.114252956,-0.111719135,0.013827221,0.026248579
0.20,16.50,16.50,33,0.116111558,-0.116111558,-0.114490367,0.011178797,0.021524090
0.20,17.00,17.00,62,0.112263869,-0.112263869,-0.111708633,0.016757599,0.034599452
0.20,17.50,17.50,71,0.117780802,-0.117780802,-0.116487119,0.016000022,0.030984339
