candidate_id,stream,bin_kind,bin_value,count,segment_count,mean_residual,median_residual,rms_residual,measurement_mean,prediction_mean,positive_fraction,negative_fraction,zero_fraction,mean_sign,median_sign
in_shear,forward_accel,command_polarity,negative_yaw_command,76750,118,-1.67168803448,-0.116580941629,6.66708576772,1.94570567095,3.61739370542,0.456964169381,0.543035830619,0,negative,negative
in_shear,forward_accel,command_polarity,positive_yaw_command,76750,118,-1.77685791353,-0.204183110637,6.50189110267,1.44593292561,3.22279083914,0.409563517915,0.590436482085,0,negative,negative
in_shear,forward_accel,command_polarity,zero_yaw_command,21125,42,-0.0462106988819,0.00274004637969,1.37893221078,0.202385511858,0.24859621074,0.501964497041,0.498035502959,0,negative,positive
in_shear,forward_accel,high_command,high_command,54000,54,-4.88520461482,-2.23344927131,10.7755873505,4.766222058,9.65142667282,0.323518518519,0.676481481481,0,negative,negative
in_shear,forward_accel,high_command,low_command,120625,200,-0.0153455197789,-0.00977411773726,1.8796219993,0.059752663973,0.0750981837519,0.494424870466,0.505575129534,0,negative,negative
in_shear,right_accel,all,all,174625,236,-0.52028282279,-0.0706882817614,3.87625418546,2.8161780138,3.3364608366,0.465465998568,0.534534001432,0,negative,negative
in_shear,right_accel,command_bucket,"pair=-0.30,0.30;yaw=0.30",2500,10,-0.0163256581601,-0.00122243319346,0.683977351667,0.0012120943502,0.0175377525103,0.4984,0.5016,0,negative,negative
in_shear,right_accel,command_bucket,"pair=-0.35,0.35;yaw=0.35",2500,10,-0.0156382463403,0.00224728085815,0.673150733074,-0.000372106666512,0.0152661396738,0.5024,0.4976,5.55111512313e-17,negative,positive
in_shear,right_accel,command_bucket,"pair=-0.40,0.40;yaw=0.40",2500,10,0.0133447337322,0.024557470525,0.904753822094,-0.000346883211062,-0.0136916169432,0.5196,0.4804,5.55111512313e-17,positive,positive
in_shear,right_accel,command_bucket,"pair=-0.45,0.45;yaw=0.45",2500,10,0.0643011991129,0.142853839914,1.24044933422,0.000814248388437,-0.0634869507245,0.5712,0.4288,-5.55111512313e-17,positive,positive
in_shear,right_accel,command_bucket,"pair=-0.50,0.50;yaw=0.50",11500,19,0.0289032533341,0.0119942138061,1.06819521988,-0.019149952638,-0.0480532059721,0.511913043478,0.488086956522,5.55111512313e-17,positive,positive
in_shear,right_accel,command_bucket,"pair=-0.55,0.55;yaw=0.55",10250,14,0.0947017947564,0.0664602976196,1.23605348641,-0.0134562338506,-0.108158028607,0.536,0.464,-5.55111512313e-17,positive,positive
in_shear,right_accel,command_bucket,"pair=-0.60,0.60;yaw=0.60",9000,9,0.152984144912,0.0848993492206,1.76478286634,0.021649375597,-0.131334769315,0.532222222222,0.467777777778,-5.55111512313e-17,positive,positive
in_shear,right_accel,command_bucket,"pair=-0.65,0.65;yaw=0.65",9000,9,0.191800637653,0.0842040590112,2.1480177871,0.161167154046,-0.0306334836067,0.519111111111,0.480888888889,5.55111512313e-17,positive,positive
in_shear,right_accel,command_bucket,"pair=-0.70,0.70;yaw=0.70",9000,9,-0.248611875691,-0.0716497569393,4.99107399337,1.92419970475,2.17281158044,0.486666666667,0.513333333333,0,negative,negative
in_shear,right_accel,command_bucket,"pair=-0.75,0.75;yaw=0.75",9000,9,-0.935491643296,-0.535579047088,6.67729229842,7.54801013473,8.48350177803,0.437333333333,0.562666666667,0,negative,negative
in_shear,right_accel,command_bucket,"pair=-0.80,0.80;yaw=0.80",9000,9,-1.6144264914,-1.14666790241,7.25101221109,21.4555554982,23.0699819896,0.427,0.573,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.00,0.00;yaw=0.00",21125,42,-0.0592892254336,-0.0426247359021,1.80714290773,0.257712465282,0.317001690715,0.459218934911,0.540781065089,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.30,-0.30;yaw=-0.30",2500,10,-0.0026369047169,-0.00652082548995,0.76099568664,-0.000918749148932,0.00171815556796,0.494,0.506,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.35,-0.35;yaw=-0.35",2500,10,-0.00350495375972,-0.0136559187749,0.731286059006,0.000416630534736,0.00392158429445,0.4868,0.5132,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.40,-0.40;yaw=-0.40",2500,10,-0.0305569049073,-0.0367465698408,1.0655492573,0.000475775024914,0.0310326799322,0.4648,0.5352,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.45,-0.45;yaw=-0.45",2500,10,-0.0770564350117,-0.0733667474455,1.56977471594,0.00375974188001,0.0808161768918,0.4504,0.5496,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.50,-0.50;yaw=-0.50",11500,19,-0.110707959095,-0.0865551763006,1.22395620241,-0.013615916853,0.0970920422416,0.442347826087,0.557652173913,1.11022302463e-16,negative,negative
in_shear,right_accel,command_bucket,"pair=0.55,-0.55;yaw=-0.55",10250,14,-0.188034371415,-0.142215443315,1.36615175704,-0.00349888357099,0.184535487844,0.441756097561,0.558243902439,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.60,-0.60;yaw=-0.60",9000,9,-0.204659335675,-0.105481663756,1.58102264962,0.042944432703,0.247603768378,0.468888888889,0.531111111111,0,negative,negative
in_shear,right_accel,command_bucket,"pair=0.65,-0.65;yaw=-0.65",9000,9,-0.149283820238,-0.0822052884805,2.0607550722,0.2788360707,0.428119890938,0.479111111111,0.520888888889,1.11022302463e-16,negative,negative
in_shear,right_accel,command_bucket,"pair=0.70,-0.70;yaw=-0.70",9000,9,-0.407923972633,-0.151579676171,4.33760779612,1.24605435018,1.65397832281,0.472333333333,0.527666666667,1.11022302463e-16,negative,negative
