dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
open_floor_validation_only,entry,left_right_drive_force_delta_n,2104,0.20545358881815043
open_floor_validation_only,entry,left_right_normal_delta_n,2104,0.0
open_floor_validation_only,entry,left_right_vrel_f_abs_delta_mps,2104,0.0
open_floor_validation_only,entry,left_right_vrel_r_abs_delta_mps,2104,0.0
open_floor_validation_only,entry,max_force_limiter_activity,2104,0.0
open_floor_validation_only,entry,max_force_preprojection_utilization,2104,0.3224055234830262
open_floor_validation_only,entry,patch_yaw_abs_velocity_basis_m2ps,2104,0.048908429678136335
open_floor_validation_only,entry,patch_yaw_force_basis_nm,2104,0.8411554201633351
open_floor_validation_only,entry,patch_yaw_req_basis_nm,2104,0.8389108634638338
open_floor_validation_only,entry,patch_yaw_velocity_basis_m2ps,2104,0.1297743529352619
open_floor_validation_only,entry,phase_entry,2104,0.0
open_floor_validation_only,entry,phase_exit,2104,0.0
open_floor_validation_only,entry,phase_progress,2104,0.04057120515396854
open_floor_validation_only,entry,vbar_rel_mps,2104,0.0885053042489624
open_floor_validation_only,entry,vbar_yaw_mps,2104,0.10907243544940232
open_floor_validation_only,plateau,abs_measured_yaw_accel_radps2,10533,0.1654746531298603
open_floor_validation_only,plateau,abs_yaw_rate_radps,10533,-0.09631072022408779
open_floor_validation_only,plateau,avg_abs_vrel_f_mps,10533,-0.1282617068558035
open_floor_validation_only,plateau,avg_abs_vrel_r_mps,10533,-0.0963107252255234
open_floor_validation_only,plateau,current_proxy_abs_raw_over_unit_command_prior,10533,0.3037347528488803
open_floor_validation_only,plateau,front_rear_normal_delta_n,10533,0.0
open_floor_validation_only,plateau,front_rear_vrel_f_abs_delta_mps,10533,0.0
open_floor_validation_only,plateau,front_rear_vrel_r_abs_delta_mps,10533,0.0
open_floor_validation_only,plateau,gyro_derivative_spike,10533,0.0
open_floor_validation_only,plateau,hardware_saturation_evidence,10533,0.0
open_floor_validation_only,plateau,left_right_drive_force_delta_n,10533,0.16770147751830075
open_floor_validation_only,plateau,left_right_normal_delta_n,10533,0.0
open_floor_validation_only,plateau,left_right_vrel_f_abs_delta_mps,10533,0.0
open_floor_validation_only,plateau,left_right_vrel_r_abs_delta_mps,10533,0.0
open_floor_validation_only,plateau,max_force_limiter_activity,10533,0.0
open_floor_validation_only,plateau,max_force_preprojection_utilization,10533,0.13846586405346734
open_floor_validation_only,plateau,patch_yaw_abs_velocity_basis_m2ps,10533,-0.14171247995842667
open_floor_validation_only,plateau,patch_yaw_force_basis_nm,10533,0.8114245270049577
open_floor_validation_only,plateau,patch_yaw_req_basis_nm,10533,0.8114463962030941
open_floor_validation_only,plateau,patch_yaw_velocity_basis_m2ps,10533,0.2322053906178387
open_floor_validation_only,plateau,phase_entry,10533,0.0
open_floor_validation_only,plateau,phase_exit,10533,0.0
open_floor_validation_only,plateau,phase_progress,10533,0.019519095054527622
open_floor_validation_only,plateau,vbar_rel_mps,10533,-0.1266232354904974
open_floor_validation_only,plateau,vbar_yaw_mps,10533,-0.0963107214415592
open_floor_validation_only,exit,abs_measured_yaw_accel_radps2,1905,0.20903064440302224
open_floor_validation_only,exit,abs_yaw_rate_radps,1905,-0.097339565324267
open_floor_validation_only,exit,avg_abs_vrel_f_mps,1905,0.07225298012605003
open_floor_validation_only,exit,avg_abs_vrel_r_mps,1905,-0.09733956239140044
open_floor_validation_only,exit,current_proxy_abs_raw_over_unit_command_prior,1905,0.4612805493474229
open_floor_validation_only,exit,front_rear_normal_delta_n,1905,0.0
open_floor_validation_only,exit,front_rear_vrel_f_abs_delta_mps,1905,0.0
open_floor_validation_only,exit,front_rear_vrel_r_abs_delta_mps,1905,0.0
open_floor_validation_only,exit,gyro_derivative_spike,1905,0.0
open_floor_validation_only,exit,hardware_saturation_evidence,1905,0.0
open_floor_validation_only,exit,left_right_drive_force_delta_n,1905,0.16966260265493213
open_floor_validation_only,exit,left_right_normal_delta_n,1905,0.0
open_floor_validation_only,exit,left_right_vrel_f_abs_delta_mps,1905,0.0
open_floor_validation_only,exit,left_right_vrel_r_abs_delta_mps,1905,0.0
open_floor_validation_only,exit,max_force_limiter_activity,1905,0.0
open_floor_validation_only,exit,max_force_preprojection_utilization,1905,0.31857721960331586
open_floor_validation_only,exit,patch_yaw_abs_velocity_basis_m2ps,1905,0.06596015955579784
open_floor_validation_only,exit,patch_yaw_force_basis_nm,1905,0.838179763815647
open_floor_validation_only,exit,patch_yaw_req_basis_nm,1905,0.8220975562156644
open_floor_validation_only,exit,patch_yaw_velocity_basis_m2ps,1905,0.1274431157025859
open_floor_validation_only,exit,phase_entry,1905,0.0
open_floor_validation_only,exit,phase_exit,1905,0.0
open_floor_validation_only,exit,phase_progress,1905,-0.22323082626873586
open_floor_validation_only,exit,vbar_rel_mps,1905,0.07126988690479183
open_floor_validation_only,exit,vbar_yaw_mps,1905,-0.09733956688820766
diag_validation_only,all,abs_measured_yaw_accel_radps2,11108,-0.21142917372097328
diag_validation_only,all,abs_yaw_rate_radps,11108,-0.6499470161673861
diag_validation_only,all,avg_abs_vrel_f_mps,11108,-0.6553038066496663
diag_validation_only,all,avg_abs_vrel_r_mps,11108,-0.6499470157185865
diag_validation_only,all,current_proxy_abs_raw_over_unit_command_prior,11108,-0.7657274264412914
diag_validation_only,all,front_rear_normal_delta_n,11108,0.0
diag_validation_only,all,front_rear_vrel_f_abs_delta_mps,11108,0.0
