candidate_id,model,policy,state,count,mean,rms,median,p95,max
baseline,current_holdover_approximation,testbed_independent,q_frobenius,30523,3.9100912646274686e-10,3.9100912646274686e-10,3.9100912646274686e-10,3.9100912646274686e-10,3.9100912646274686e-10
baseline,current_holdover_approximation,production_correlated,px_m,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,production_correlated,py_m,30523,5.6350576065950485e-15,5.635057606595049e-15,5.635057606595049e-15,5.635057606595049e-15,5.635057606595049e-15
baseline,current_holdover_approximation,production_correlated,heading_rad,30523,2.0183231979448888e-13,2.0183231979448888e-13,2.0183231979448888e-13,2.0183231979448888e-13,2.0183231979448888e-13
baseline,current_holdover_approximation,production_correlated,vf_mps,30523,2.2540241584426998e-08,2.2540241584426998e-08,2.2540241584426998e-08,2.2540241584426998e-08,2.2540241584426998e-08
baseline,current_holdover_approximation,production_correlated,vr_mps,30523,8.454733926139038e-49,8.454733926139038e-49,8.454733926139038e-49,8.454733926139038e-49,8.454733926139038e-49
baseline,current_holdover_approximation,production_correlated,yaw_rate_radps,30523,8.069334261097303e-07,8.069334261097303e-07,8.069334261097303e-07,8.069334261097303e-07,8.069334261097303e-07
baseline,current_holdover_approximation,production_correlated,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,production_correlated,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,production_correlated,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
baseline,current_holdover_approximation,production_correlated,q_trace,30523,8.294738751615347e-07,8.294738751615347e-07,8.294738751615347e-07,8.294738751615347e-07,8.294738751615347e-07
baseline,current_holdover_approximation,production_correlated,q_frobenius,30523,8.072483772968729e-07,8.072483772968729e-07,8.072483772968729e-07,8.072483772968729e-07,8.072483772968729e-07
