role,activation_source,yield_geometry,equivalent_activation_nm,utilization_activation,stribeck_speed_mps,speed_fade_mps,rel_weight,static_extra_nm,sliding_nm,weighted_train_opposes_rmse_nm,primary_corrected_rmse_nm,open_floor_validation_corrected_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_yaw_torque_nm
grid_top,request_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.05,0.64,1.25,0.0,0.06542978261294645,0.02443019194307672,0.02857496397566251,0.011371849993664404,0.6427575885198568,-0.6427575885198568,0.06501472136898043
grid_top,request_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.1,0.64,1.25,0.0,0.06542978261294645,0.02443019194307672,0.02857496397566251,0.011371849993664404,0.6427575885198568,-0.6427575885198568,0.06501472136898043
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.025,0.64,1.25,0.0,0.05513932141845931,0.024520753252325177,0.02861268914188798,0.011545152005762817,0.5844846408937546,-0.5844846408937546,0.055071245914238384
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.05,0.64,1.25,0.0,0.05513932141845931,0.024520753252325177,0.02861268914188798,0.011545152005762817,0.5844846408937546,-0.5844846408937546,0.055071245914238384
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.1,0.64,1.25,0.0,0.05513932141845931,0.024520753252325177,0.02861268914188798,0.011545152005762817,0.5844846408937546,-0.5844846408937546,0.055071245914238384
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.025,0.64,1.25,0.0,0.055139321418459314,0.024520753252325177,0.02861268914188798,0.011545152005762817,0.5844846408937547,-0.5844846408937547,0.05507124591423839
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.05,0.64,1.25,0.0,0.055139321418459314,0.024520753252325177,0.02861268914188798,0.011545152005762817,0.5844846408937547,-0.5844846408937547,0.05507124591423839
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.1,0.64,1.25,0.0,0.055139321418459314,0.024520753252325177,0.02861268914188798,0.011545152005762817,0.5844846408937547,-0.5844846408937547,0.05507124591423839
grid_top,request_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.1,0.64,0.75,6.751303042973405e-05,0.05302734349987573,0.024528095825992333,0.02878906233333635,0.011484506784766991,0.5726071852419718,-0.5726071852419718,0.05304452179010319
grid_top,request_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.1,0.64,0.75,6.751303042975174e-05,0.05302734349987571,0.024528095825992333,0.02878906233333635,0.011484506784766991,0.5726071852419718,-0.5726071852419718,0.05304452179010319
grid_top,request_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.05,0.64,0.75,3.057514860013833e-05,0.0530538692629634,0.02452809725377289,0.028789261210292356,0.011484207260806756,0.5725420019797988,-0.5725420019797988,0.0530333991647018
grid_top,request_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.05,0.64,0.75,3.057514860016718e-05,0.053053869262963384,0.02452809725377289,0.028789261210292356,0.011484207260806756,0.5725420019797989,-0.5725420019797989,0.05303339916470182
grid_top,request_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.025,0.64,0.75,0.0,0.05306314643956252,0.024528097558197577,0.028789320392651255,0.011483820049905318,0.572424997586351,-0.572424997586351,0.0530134339773938
grid_top,request_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.025,0.64,0.75,0.0,0.0530631464395625,0.024528097558197577,0.028789320392651255,0.011483820049905318,0.572424997586351,-0.572424997586351,0.05301343397739378
grid_top,request_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.025,0.64,1.25,0.0,0.05379796066429705,0.02464284451931698,0.028896519169287968,0.01150250201040125,0.5765889870369708,-0.5765889870369708,0.053723961393334865
grid_top,request_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.05,0.64,1.25,0.0,0.05379796066429705,0.02464284451931698,0.028896519169287968,0.01150250201040125,0.5765889870369708,-0.5765889870369708,0.053723961393334865
